                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3194,                 2.5123,                 1.8733,                0.37866,                0.06563,                0.07526,                 0.0346,                 2.7694,                 3.9763,                 2.2929,               0.070833,              0.0032407,              0.0032407
                      1,                  1.744,                 1.5363,                 1.4687,                0.45384,                0.39273,                0.19771,                0.10506,                  1.884,                 2.3201,                 1.5508,               0.040833,               0.006574,               0.006574
                      2,                 1.6799,                 1.4059,                 1.4338,                0.43496,                0.29804,                0.21281,                0.10862,                 1.8997,                 1.8565,                 1.6333,               0.010833,               0.009907,               0.009907
                      3,                 1.6321,                 1.3742,                 1.4142,                0.65696,                0.31001,                0.34872,                0.18661,                 1.8321,                 1.5591,                 1.7055,              0.0099991,              0.0099991,              0.0099991
                      4,                 1.6231,                 1.3279,                 1.4045,                0.56415,                0.44229,                0.34651,                0.18788,                 1.7318,                 1.5151,                 1.5447,              0.0099991,              0.0099991,              0.0099991
                      5,                 1.6004,                  1.281,                 1.4048,                0.45389,                0.36492,                  0.268,                0.15301,                 1.8146,                 1.6753,                 1.6094,              0.0099984,              0.0099984,              0.0099984
                      6,                 1.5966,                 1.2405,                 1.3883,                0.69678,                0.34434,                0.30362,                0.15651,                 1.7778,                 1.4814,                 1.6034,              0.0099976,              0.0099976,              0.0099976
                      7,                 1.5447,                 1.1954,                 1.3693,                0.74123,                0.37203,                0.35379,                0.19904,                 1.6184,                 1.2548,                 1.4786,              0.0099965,              0.0099965,              0.0099965
                      8,                 1.5473,                 1.2041,                 1.3806,                0.67541,                0.34396,                0.27174,                0.13508,                 1.7689,                 1.7756,                 1.5694,              0.0099952,              0.0099952,              0.0099952
                      9,                 1.5471,                 1.2204,                 1.3832,                0.76572,                0.34192,                0.36286,                0.19226,                 1.6772,                 1.2995,                 1.5418,              0.0099937,              0.0099937,              0.0099937
                     10,                 1.5275,                 1.1583,                 1.3634,                0.74531,                0.34457,                 0.3362,                0.19414,                 1.6911,                 1.4323,                 1.5292,              0.0099921,              0.0099921,              0.0099921
                     11,                 1.5034,                 1.1729,                 1.3518,                 0.7511,                0.33791,                0.35628,                0.19989,                 1.6762,                 1.2889,                 1.5072,              0.0099902,              0.0099902,              0.0099902
                     12,                  1.503,                  1.136,                 1.3479,                0.73211,                0.36902,                0.34232,                0.17861,                 1.6698,                 1.2267,                 1.5434,              0.0099882,              0.0099882,              0.0099882
                     13,                 1.5125,                 1.1427,                 1.3651,                0.55956,                0.41255,                0.39781,                0.22814,                 1.6318,                 1.1855,                 1.5112,              0.0099859,              0.0099859,              0.0099859
                     14,                 1.5051,                 1.1447,                 1.3512,                0.76046,                0.39069,                0.36931,                0.21368,                 1.5791,                  1.186,                 1.4697,              0.0099835,              0.0099835,              0.0099835
                     15,                   1.47,                  1.117,                  1.335,                0.76602,                0.37048,                0.37897,                0.20317,                 1.6071,                 1.1732,                 1.5166,              0.0099809,              0.0099809,              0.0099809
                     16,                  1.466,                  1.104,                 1.3348,                0.78341,                0.39121,                0.40663,                0.23694,                 1.5978,                 1.1407,                 1.4861,               0.009978,               0.009978,               0.009978
                     17,                  1.485,                 1.1025,                 1.3342,                0.57417,                0.42122,                0.38426,                0.21017,                 1.6626,                 1.3146,                  1.542,               0.009975,               0.009975,               0.009975
                     18,                 1.4832,                 1.1112,                 1.3563,                0.77692,                0.38048,                0.36562,                0.21074,                 1.5976,                 1.2035,                 1.4865,              0.0099718,              0.0099718,              0.0099718
                     19,                 1.4839,                 1.1071,                 1.3514,                0.76557,                0.38845,                 0.4003,                0.22693,                 1.5903,                 1.1607,                 1.5192,              0.0099684,              0.0099684,              0.0099684
